Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop,force
220,7426,0.061196,3.672074,0,0,0,1,0,0,0,35.9863252
221,7457,0.061474,3.687633,0,0,0,1,0,0,0,36.1388034
222,7489,0.061754,3.687633,0,0,0,1,0,0,0,36.1388034
223,7521,0.062033,3.672074,0,0,0,1,0,0,0,35.9863252
224,7553,0.062311,3.672074,0,0,0,1,0,0,0,35.9863252
225,7599,0.062591,3.687633,0,0,0,1,0,0,0,36.1388034
226,7631,0.062869,3.687633,0,0,0,1,0,0,0,36.1388034
227,7662,0.063148,3.703193,0,0,0,1,0,0,0,36.2912914
228,7693,0.063427,3.718753,0,0,0,1,0,0,0,36.4437794
229,7724,0.063706,3.718753,0,0,0,1,0,0,0,36.4437794
230,7756,0.063985,3.718753,0,0,0,1,0,0,0,36.4437794
231,7802,0.064264,3.734312,0,0,0,1,0,0,0,36.5962576
232,7834,0.064542,3.765432,0,0,0,1,0,0,0,36.9012336
233,7865,0.064821,3.81211,0,0,0,1,0,0,0,37.358678
234,7896,0.0651,3.82767,0,0,0,1,0,0,0,37.511166
235,7927,0.065379,3.82767,0,0,0,1,0,0,0,37.511166
236,7959,0.065657,3.81211,0,0,0,1,0,0,0,37.358678
237,8006,0.065937,3.82767,0,0,0,1,0,0,0,37.511166
238,8037,0.066215,3.81211,0,0,0,1,0,0,0,37.358678
239,8068,0.066495,3.81211,0,0,0,1,0,0,0,37.358678
240,8099,0.066774,3.82767,0,0,0,1,0,0,0,37.511166
241,8130,0.067052,3.84323,0,0,0,1,0,0,0,37.663654
242,8162,0.067331,3.858789,0,0,0,1,0,0,0,37.8161322
243,8193,0.06761,3.858789,0,0,0,1,0,0,0,37.8161322
244,8224,0.067889,3.858789,0,0,0,1,0,0,0,37.8161322
245,8271,0.068168,3.84323,0,0,0,1,0,0,0,37.663654
246,8302,0.068447,3.82767,0,0,0,1,0,0,0,37.511166
247,8334,0.068725,3.81211,0,0,0,1,0,0,0,37.358678
248,8365,0.069004,3.796551,0,0,0,1,0,0,0,37.2061998
249,8396,0.069283,3.796551,0,0,0,1,0,0,0,37.2061998
250,8427,0.069562,3.780991,0,0,0,1,0,0,0,37.0537118
251,8458,0.069841,3.780991,0,0,0,1,0,0,0,37.0537118
252,8505,0.07012,3.780991,0,0,0,1,0,0,0,37.0537118
253,8537,0.070398,3.780991,0,0,0,1,0,0,0,37.0537118
254,8568,0.070677,3.780991,0,0,0,1,0,0,0,37.0537118
255,8599,0.070957,3.780991,0,0,0,1,0,0,0,37.0537118
256,8630,0.071235,3.780991,0,0,0,1,0,0,0,37.0537118
257,8661,0.071514,3.780991,0,0,0,1,0,0,0,37.0537118
258,8693,0.071793,3.780991,0,0,0,1,0,0,0,37.0537118
259,8724,0.072072,3.796551,0,0,0,1,0,0,0,37.2061998
260,8755,0.07235,3.796551,0,0,0,1,0,0,0,37.2061998
